SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
GFI,Other,Other,CD,EUR,50000000.0,,1,True,50.625,S45 Eur 5y. .LCH,False
GFI,Other,Other,CD,USD,25000000.0,,1,True,49.75,IG46 V1 5y - ICC,False
GFI,Other,Other,CD,USD,5000000.0,,1,True,108.25,HY46 V2 5y - ICC,False
GFI,1W,FX,CU,AUD,20000000.0,,1,True,11.975,AUDJPY PUT 109.5 NEW YORK 16JUL2026 P1 BILATERAL,False
GFI,1M,FX,CU,AUD,10000000.0,,1,True,52600.0,AUDSGD CALL 0.8938 TOKYO 06AUG2026 C1 BILATERAL,False
GFI,1M,FX,CU,AUD,10000000.0,,1,True,51100.0,AUDSGD PUT 0.8938 TOKYO 06AUG2026 P2 BILATERAL,False
GFI,2W,FX,CU,AUD,25000000.0,,1,True,6.6,AUDUSD CALL 50D NEW YORK 20JUL2026 C1 BILATERAL,False
GFI,3M,FX,CU,AUD,9750000.0,,1,True,7.5,AUDUSD CALL 50D NEW YORK 06OCT2026 C3 BILATERAL,False
GFI,2M,FX,CU,AUD,50000000.0,,1,True,7.01,AUDUSD CALL 0.705 NEW YORK 16SEP2026 C1 BILATERAL,False
GFI,1Y,FX,CU,AUD,30000000.0,,1,True,562800.0,AUDUSD CALL 0.7 NEW YORK 02JUN2027 C1 BILATERAL,False
GFI,2W,FX,CU,AUD,25000000.0,,1,True,6.6,AUDUSD PUT 50D NEW YORK 20JUL2026 P2 BILATERAL,False
GFI,3M,FX,CU,AUD,9750000.0,,1,True,7.5,AUDUSD PUT 50D NEW YORK 06OCT2026 P4 BILATERAL,False
GFI,2W,FX,CU,AUD,12000000.0,,1,True,139476.0,AUDUSD PUT 0.7 NEW YORK 20JUL2026 P1 BILATERAL,False
GFI,2W,FX,CU,AUD,12000000.0,,1,True,41112.0,AUDUSD PUT 0.69 NEW YORK 20JUL2026 P2 BILATERAL,False
GFI,18M,FX,CU,EUR,30000000.0,,1,True,588567.04,EURGBP CALL 0.87 NEW YORK 16AUG2027 C1 BILATERAL,False
GFI,3M,FX,CU,EUR,1250000.0,,1,True,2962.5,EURGBP CALL 0.8772 NEW YORK 15OCT2026 C1 BILATERAL,False
GFI,6M,FX,CU,EUR,750000.0,,1,True,2064.75,EURGBP CALL 0.888 NEW YORK 04DEC2026 C1 BILATERAL,False
GFI,9M,FX,CU,EUR,2500000.0,,1,True,18870.0,EURGBP CALL 0.8798 NEW YORK 01MAR2027 C1 BILATERAL,False
GFI,1Y,FX,CU,EUR,500000.0,,1,True,6711.0,EURGBP CALL 0.8774 NEW YORK 07JUN2027 C1 BILATERAL,False
GFI,1Y,FX,CU,EUR,500000.0,,1,True,12767.0,EURGBP PUT 0.8774 NEW YORK 07JUN2027 P2 BILATERAL,False
GFI,3W,FX,CU,EUR,40000000.0,,1,True,5.9,EURJPY CALL 50D NEW YORK 27JUL2026 C1 BILATERAL,False
GFI,3W,FX,CU,EUR,40000000.0,,1,True,5.9,EURJPY PUT 50D NEW YORK 27JUL2026 P2 BILATERAL,False
GFI,1W,FX,CU,EUR,30000000.0,,1,True,6.199,EURJPY PUT 184.5 NEW YORK 13JUL2026 P1 BILATERAL,False
GFI,2M,FX,CU,EUR,500000.0,,1,True,4405.0,EURNOK CALL 11.375 NEW YORK 17SEP2026 C1 BILATERAL,False
GFI,6M,FX,CU,EUR,1250000.0,,1,True,7263.75,EURNOK CALL 11.66 NEW YORK 27OCT2026 C1 BILATERAL,False
GFI,9M,FX,CU,EUR,1250000.0,,1,True,16328.75,EURNOK CALL 11.612 NEW YORK 22JAN2027 C1 BILATERAL,False
GFI,2M,FX,CU,EUR,500000.0,,1,True,8855.0,EURNOK PUT 11.375 NEW YORK 17SEP2026 P2 BILATERAL,False
GFI,1Y,FX,CU,EUR,1000000.0,,1,True,13535.0,EURNOK PUT 11.0885 NEW YORK 28APR2027 P1 BILATERAL,False
GFI,1M,FX,CU,EUR,10000000.0,,1,True,3.05,EURPLN CALL 50D WARSAW 06AUG2026 C1 BILATERAL,False
GFI,6M,FX,CU,EUR,750000.0,,1,True,8475.0,EURPLN CALL 4.3035 WARSAW 04DEC2026 C1 BILATERAL,False
GFI,1Y,FX,CU,EUR,1000000.0,,1,True,21605.0,EURPLN CALL 4.3059 WARSAW 07JUN2027 C1 BILATERAL,False
GFI,1M,FX,CU,EUR,10000000.0,,1,True,3.05,EURPLN PUT 50D WARSAW 06AUG2026 P2 BILATERAL,False
GFI,1M,FX,CU,EUR,750000.0,,1,True,355.0,EURPLN PUT 4.25 WARSAW 06AUG2026 P1 BILATERAL,False
GFI,6M,FX,CU,EUR,750000.0,,1,True,5970.0,EURPLN PUT 4.3035 WARSAW 04DEC2026 P2 BILATERAL,False
GFI,9M,FX,CU,EUR,2000000.0,,1,True,16920.0,EURPLN PUT 4.2919 WARSAW 22FEB2027 P1 BILATERAL,False
GFI,1Y,FX,CU,EUR,1000000.0,,1,True,11465.0,EURPLN PUT 4.3059 WARSAW 07JUN2027 P2 BILATERAL,False
GFI,6M,FX,CU,EUR,850000.0,,1,True,2704.7,EURSEK PUT 10.5434 NEW YORK 04JAN2027 P1 BILATERAL,False
GFI,1Y,FX,CU,EUR,1250000.0,,1,True,17362.5,EURSEK PUT 10.7909 NEW YORK 11MAY2027 P1 BILATERAL,False
GFI,TN,FX,CU,EUR,20000000.0,,1,True,4.875,EURUSD CALL 1.1475 NEW YORK 09JUL2026 C1 BILATERAL,False
