SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
GFI,9M,IRS / Swap,IR,MXN,20485000000.0,,1,True,6.685, OIS 20260608 20260610 9MMXN MXN 28D1 200 28D1 200 2 - CME,True
GFI,2Y,IRS / Swap,IR,USD,100000000.0,,1,True,244.5, OPT 20260608 20290612 2YUSD USD 12M1 22 12M1 176 0,False
GFI,Other,Other,CD,USD,50000000.0,,1,True,51.95,IG46 V1 5y - ICC,False
GFI,2W,FX,CU,AUD,35000000.0,,1,True,8.25,AUDUSD CALL 50D NEW YORK 22JUN2026 C1 BILATERAL,False
GFI,2M,FX,CU,AUD,17000000.0,,1,True,8.15,AUDUSD CALL 50D NEW YORK 06AUG2026 C3 BILATERAL,False
GFI,TN,FX,CU,AUD,15000000.0,,1,True,2835.0,AUDUSD CALL 0.71 NEW YORK 10JUN2026 C1 BILATERAL,False
GFI,1W,FX,CU,AUD,50000000.0,,1,True,8.85,AUDUSD CALL 0.71 TOKYO 18JUN2026 C1 BILATERAL,False
GFI,2W,FX,CU,AUD,35000000.0,,1,True,8.25,AUDUSD PUT 50D NEW YORK 22JUN2026 P2 BILATERAL,False
GFI,2M,FX,CU,AUD,17000000.0,,1,True,8.15,AUDUSD PUT 50D NEW YORK 06AUG2026 P4 BILATERAL,False
GFI,2W,FX,CU,AUD,35000000.0,,1,True,70700.0,AUDUSD PUT 0.695 NEW YORK 22JUN2026 P1 BILATERAL,False
GFI,1M,FX,CU,AUD,12000000.0,,1,True,98089.74,AUDUSD PUT 0.7 NEW YORK 20JUL2026 P1 BILATERAL,False
GFI,1M,FX,CU,AUD,12000000.0,,1,True,34600.29,AUDUSD PUT 0.685 NEW YORK 20JUL2026 P2 BILATERAL,False
GFI,1W,FX,CU,AUD,50000000.0,,1,True,9.7,AUDUSD PUT 0.699 TOKYO 18JUN2026 P2 BILATERAL,False
GFI,1W,FX,CU,AUD,20000000.0,,1,True,6250.0,AUDUSD PUT 0.685 TOKYO 18JUN2026 P1 BILATERAL,False
GFI,2M,FX,CU,EUR,37500000.0,,1,True,4.7,EURCAD CALL 50D NEW YORK 06AUG2026 C1 BILATERAL,False
GFI,9M,FX,CU,EUR,17250000.0,,1,True,5.225,EURCAD CALL 50D NEW YORK 08MAR2027 C1 BILATERAL,False
GFI,2M,FX,CU,EUR,25000000.0,,1,True,4.7,EURCAD CALL 50D NEW YORK 06AUG2026 C1 BILATERAL,False
GFI,9M,FX,CU,EUR,11500000.0,,1,True,5.225,EURCAD CALL 50D NEW YORK 08MAR2027 C1 BILATERAL,False
GFI,2M,FX,CU,EUR,37500000.0,,1,True,4.7,EURCAD PUT 50D NEW YORK 06AUG2026 P2 BILATERAL,False
GFI,9M,FX,CU,EUR,17250000.0,,1,True,5.225,EURCAD PUT 50D NEW YORK 08MAR2027 P2 BILATERAL,False
GFI,2M,FX,CU,EUR,25000000.0,,1,True,4.7,EURCAD PUT 50D NEW YORK 06AUG2026 P2 BILATERAL,False
GFI,9M,FX,CU,EUR,11500000.0,,1,True,5.225,EURCAD PUT 50D NEW YORK 08MAR2027 P2 BILATERAL,False
GFI,1W,FX,CU,EUR,30000000.0,,1,True,4.85,EURCAD PUT 1.603 NEW YORK 18JUN2026 P1 BILATERAL,False
GFI,TN,FX,CU,EUR,30000000.0,,1,True,4.2,EURCHF CALL 0.9215 NEW YORK 10JUN2026 C1 BILATERAL,False
GFI,TN,FX,CU,EUR,30000000.0,,1,True,4.43,EURCHF CALL 0.9215 NEW YORK 10JUN2026 C1 BILATERAL,False
GFI,TN,FX,CU,EUR,20000000.0,,1,True,3.7,EURCHF CALL 0.9215 NEW YORK 10JUN2026 C1 BILATERAL,False
GFI,1W,FX,CU,EUR,20000000.0,,1,True,4.276,EURCHF PUT 0.917 NEW YORK 15JUN2026 P2 BILATERAL,False
GFI,1W,FX,CU,EUR,20000000.0,,1,True,4.23,EURCHF PUT 0.917 NEW YORK 15JUN2026 P2 BILATERAL,False
GFI,1W,FX,CU,EUR,15000000.0,,1,True,4.1,EURCHF PUT 0.917 NEW YORK 15JUN2026 P2 BILATERAL,False
GFI,1M,FX,CU,EUR,175000000.0,,1,True,3.5,EURGBP CALL 49D NEW YORK 08JUL2026 C1 BILATERAL,False
GFI,1M,FX,CU,EUR,25000000.0,,1,True,3.5,EURGBP CALL 50D NEW YORK 08JUL2026 C1 BILATERAL,False
GFI,1M,FX,CU,EUR,175000000.0,,1,True,3.5,EURGBP PUT 51D NEW YORK 08JUL2026 P2 BILATERAL,False
GFI,1M,FX,CU,EUR,25000000.0,,1,True,3.5,EURGBP PUT 50D NEW YORK 08JUL2026 P2 BILATERAL,False
GFI,1M,FX,CU,EUR,20000000.0,,1,True,9.65,EURHUF CALL 365 BUDAPEST 08JUL2026 C1 BILATERAL,False
GFI,2M,FX,CU,EUR,16000000.0,,1,True,6.95,EURHUF PUT 350 BUDAPEST 06AUG2026 P1 BILATERAL,False
GFI,1W,FX,CU,EUR,15000000.0,,1,True,7.991,EURJPY CALL 184.15 NEW YORK 16JUN2026 C1 BILATERAL,False
GFI,ON,FX,CU,EUR,30000000.0,,1,True,8.75,EURNOK CALL 10.91 NEW YORK 09JUN2026 C1 BILATERAL,False
GFI,ON,FX,CU,EUR,30000000.0,,1,True,8.0,EURNOK PUT 10.8765 NEW YORK 09JUN2026 P2 BILATERAL,False
GFI,2W,FX,CU,EUR,50000000.0,,1,True,6.05,EURUSD CALL 50D NEW YORK 22JUN2026 C1 BILATERAL,False
GFI,3M,FX,CU,EUR,125000000.0,,1,True,5.525,EURUSD CALL 50D NEW YORK 08SEP2026 C1 BILATERAL,False
GFI,6M,FX,CU,EUR,30000000.0,,1,True,5.75,EURUSD CALL 1.1875 NEW YORK 08DEC2026 C1 BILATERAL,False
GFI,1W,FX,CU,EUR,2000000.0,,1,True,7471.91,EURUSD CALL 1.153 NEW YORK 15JUN2026 C1 BILATERAL,False
GFI,ON,FX,CU,EUR,50000000.0,,1,True,6.25,EURUSD CALL 25D NEW YORK 09JUN2026 C1 BILATERAL,False
GFI,6M,FX,CU,EUR,30000000.0,,1,True,5.75,EURUSD CALL 1.1875 NEW YORK 08DEC2026 C1 BILATERAL,False
GFI,1M,FX,CU,EUR,5000000.0,,1,True,5.638,EURUSD CALL 1.156 NEW YORK 08JUL2026 C1 BILATERAL,False
GFI,ON,FX,CU,EUR,50000000.0,,1,True,5.0,EURUSD CALL 1.156 NEW YORK 09JUN2026 C1 BILATERAL,False
GFI,ON,FX,CU,EUR,50000000.0,,1,True,5.75,EURUSD CALL 1.156 NEW YORK 09JUN2026 C1 BILATERAL,False
GFI,3W,FX,CU,EUR,75000000.0,,1,True,5.55,EURUSD CALL 50D NEW YORK 29JUN2026 C1 BILATERAL,False
GFI,3W,FX,CU,EUR,173000000.0,,1,True,6.075,EURUSD CALL 10D NEW YORK 29JUN2026 C3 BILATERAL,False
GFI,2W,FX,CU,EUR,50000000.0,,1,True,6.05,EURUSD PUT 50D NEW YORK 22JUN2026 P2 BILATERAL,False
GFI,3M,FX,CU,EUR,125000000.0,,1,True,5.525,EURUSD PUT 50D NEW YORK 08SEP2026 P2 BILATERAL,False
GFI,3M,FX,CU,EUR,25000000.0,,1,True,133783.46,EURUSD PUT 1.14 NEW YORK 31AUG2026 P1 BILATERAL,False
GFI,3M,FX,CU,EUR,25000000.0,,1,True,87728.86,EURUSD PUT 1.13 NEW YORK 31AUG2026 P2 BILATERAL,False
GFI,3M,FX,CU,EUR,10000000.0,,1,True,55490.0,EURUSD PUT 1.14 NEW YORK 31AUG2026 P1 BILATERAL,False
GFI,3M,FX,CU,EUR,10000000.0,,1,True,36250.0,EURUSD PUT 1.13 NEW YORK 31AUG2026 P2 BILATERAL,False
GFI,1W,FX,CU,EUR,2000000.0,,1,True,7767.33,EURUSD PUT 1.153 NEW YORK 15JUN2026 P2 BILATERAL,False
GFI,ON,FX,CU,EUR,50000000.0,,1,True,7.0,EURUSD PUT 25D NEW YORK 09JUN2026 P2 BILATERAL,False
GFI,3M,FX,CU,EUR,25000000.0,,1,True,175108.0,EURUSD PUT 1.14 NEW YORK 08SEP2026 P1 BILATERAL,False
GFI,3M,FX,CU,EUR,25000000.0,,1,True,42946.0,EURUSD PUT 1.105 NEW YORK 08SEP2026 P2 BILATERAL,False
GFI,2W,FX,CU,EUR,100000000.0,,1,True,7.55,EURUSD PUT 1.14 NEW YORK 19JUN2026 P1 BILATERAL,False
GFI,3W,FX,CU,EUR,50000000.0,,1,True,80000.0,EURUSD PUT 1.1375 NEW YORK 01JUL2026 P1 BILATERAL,False
GFI,ON,FX,CU,EUR,30000000.0,,1,True,6.5,EURUSD PUT 1.15 NEW YORK 09JUN2026 P1 BILATERAL,False
GFI,1W,FX,CU,EUR,30000000.0,,1,True,6.6,EURUSD PUT 1.152 NEW YORK 18JUN2026 P1 BILATERAL,False
GFI,ON,FX,CU,EUR,50000000.0,,1,True,6.5,EURUSD PUT 1.15 NEW YORK 09JUN2026 P2 BILATERAL,False
GFI,1W,FX,CU,EUR,100000000.0,,1,True,6.6,EURUSD PUT 1.1515 NEW YORK 18JUN2026 P1 BILATERAL,False
GFI,1W,FX,CU,EUR,100000000.0,,1,True,127000.0,EURUSD PUT 1.15 NEW YORK 12JUN2026 P1 BILATERAL,False
GFI,2W,FX,CU,EUR,200000000.0,,1,True,272000.0,EURUSD PUT 1.1425 NEW YORK 22JUN2026 P1 BILATERAL,False
GFI,3W,FX,CU,EUR,75000000.0,,1,True,5.55,EURUSD PUT 50D NEW YORK 29JUN2026 P2 BILATERAL,False
GFI,3W,FX,CU,EUR,173000000.0,,1,True,6.075,EURUSD PUT 10D NEW YORK 29JUN2026 P4 BILATERAL,False
GFI,2W,FX,CU,EUR,100000000.0,,1,True,103500.0,EURUSD PUT 1.14 NEW YORK 22JUN2026 P1 BILATERAL,False
GFI,2W,FX,CU,EUR,20000000.0,,1,True,36200.0,EURUSD PUT 1.1429 NEW YORK 24JUN2026 P1 BILATERAL,False
GFI,3M,FX,CU,EUR,25000000.0,,1,True,147012.0,EURUSD PUT 1.14 TOKYO 08SEP2026 P1 BILATERAL,False
GFI,3M,FX,CU,EUR,25000000.0,,1,True,35968.0,EURUSD PUT 1.105 TOKYO 08SEP2026 P2 BILATERAL,False
GFI,2M,FX,CU,GBP,20000000.0,,1,True,98800.0,GBPUSD CALL 1.3525 NEW YORK 06AUG2026 C1 BILATERAL,False
GFI,2M,FX,CU,GBP,20000000.0,,1,True,25200.0,GBPUSD CALL 1.38 NEW YORK 06AUG2026 C2 BILATERAL,False
GFI,2W,FX,CU,GBP,20000000.0,,1,True,6.93,GBPUSD CALL 1.35 NEW YORK 22JUN2026 C1 BILATERAL,False
GFI,2W,FX,CU,GBP,20000000.0,,1,True,6.96,GBPUSD CALL 1.35 NEW YORK 22JUN2026 C1 BILATERAL,False
GFI,1W,FX,CU,GBP,200000000.0,,1,True,6.5,GBPUSD PUT 1.332 NEW YORK 16JUN2026 P1 BILATERAL,False
GFI,TN,FX,CU,GBP,20000000.0,,1,True,6.5,GBPUSD PUT 1.334 NEW YORK 11JUN2026 P1 BILATERAL,False
GFI,1W,FX,CU,USD,9600000.0,,1,True,5.1575,USDBRL 5.1575 STRADDLE SAO PAULO 15JUN2026 H 3 BILATERAL,False
GFI,ON,FX,CU,USD,9000000.0,,1,True,5.1725,USDBRL 5.1725 CALL SAO PAULO 09JUN2026 H 2 BILATERAL,False
GFI,1M,FX,CU,USD,800000.0,,1,True,5.2075,USDBRL 5.2075 STRADDLE SAO PAULO 08JUL2026 H 3 BILATERAL,False
GFI,1M,FX,CU,USD,5350000.0,,1,True,5.219,USDBRL 5.219 CALL SPREAD SAO PAULO 07JUL2026 H 3 BILATERAL,False
GFI,1M,FX,CU,USD,2400000.0,,1,True,5.2235,USDBRL 5.2235 STRADDLE SAO PAULO 08JUL2026 H 3 BILATERAL,False
GFI,1M,FX,CU,USD,4000000.0,,1,True,5.23,USDBRL 5.23 STRADDLE SAO PAULO 08JUL2026 H 3 BILATERAL,False
GFI,2M,FX,CU,USD,126500000.0,,1,True,5.256,USDBRL 5.256 RISK REVERSAL SAO PAULO 06AUG2026 H 3 BILATERAL,False
GFI,2M,FX,CU,USD,30350000.0,,1,True,5.2665,USDBRL 5.2665 RISK REVERSAL SAO PAULO 06AUG2026 H 3 BILATERAL,False
GFI,3M,FX,CU,USD,10000000.0,,1,True,5.275,USDBRL 5.275 STRADDLE SAO PAULO 08SEP2026 H 3 BILATERAL,False
GFI,1M,FX,CU,USD,2000000.0,,1,True,1547.7,USDKRW 1547.7 STRADDLE SEOUL(SL) 08JUL2026 H 3 BILATERAL,False
