SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
LatAm SEF,10Y,IRS / Swap,IR,CLP,11600000000.0,12576707.0711,1,True,5.145,CLP vs. Camara OIS - CME - 10-Year,False
LatAm SEF,5Y,IRS / Swap,IR,CLP,21000000000.0,22768176.5943,1,True,4.67,CLP vs. Camara OIS - CME - 5-Year,False
LatAm SEF,2Y,IRS / Swap,IR,COP,38000000000.0,11034995.4553,1,True,11.16,COP vs. IBR OIS - CME - 2-Year,False
LatAm SEF,3Y,IRS / Swap,IR,COP,27000000000.0,7840654.6656,1,True,10.56,COP vs. IBR OIS - CME - 3-Year,False
LatAm SEF,5Y,IRS / Swap,IR,COP,81000000000.0,23521963.9969,1,True,10.02,COP vs. IBR OIS - CME - 5-Year,False
LatAm SEF,10Y,IRS / Swap,IR,MXN,800000000.0,45886820.1581,1,True,8.07,MXN vs. F-TIIE OIS - CME - 130x1,True
LatAm SEF,1Y,IRS / Swap,IR,MXN,8330000000.0,477796514.896,1,True,6.685,MXN vs. F-TIIE OIS - CME - 13x1,True
LatAm SEF,2Y,IRS / Swap,IR,MXN,3030000000.0,173796331.3487,1,True,7.03,MXN vs. F-TIIE OIS - CME - 26x1,True
LatAm SEF,3Y,IRS / Swap,IR,MXN,1280000000.0,73418912.2529,1,True,7.3,MXN vs. F-TIIE OIS - CME - 39x1,True
LatAm SEF,5Y,IRS / Swap,IR,MXN,175000000.0,10037741.9096,1,True,7.58,MXN vs. F-TIIE OIS - CME - 65x1,True
LatAm SEF,6M,IRS / Swap,IR,MXN,5700000000.0,326943593.6263,1,True,6.58,MXN vs. F-TIIE OIS - CME - 6x1,True
LatAm SEF,9M,IRS / Swap,IR,MXN,9210000000.0,528272017.0699,1,True,6.605,MXN vs. F-TIIE OIS - CME - 9x1,True
LatAm SEF,TN,FX,CU,USD,20000000.0,20000000.0,1,True,924.0,NDF CLP - 09Jul26,False
LatAm SEF,1M,FX,CU,USD,20000000.0,20000000.0,1,True,924.0,NDF CLP - 10Aug26,False
LatAm SEF,3M,FX,CU,USD,50000000.0,50000000.0,1,True,3429.75,NDF COP - 08Oct26,False
LatAm SEF,2M,FX,CU,USD,50000000.0,50000000.0,1,True,3403.5,NDF COP - 08Sep26,False
LatAm SEF,1M,FX,CU,USD,80000000.0,80000000.0,1,True,3.4115,NDF PEN - 10Aug26,False
LatAm SEF,2W,FX,CU,USD,80000000.0,80000000.0,1,True,3.409,NDF PEN - 20Jul26,False
