SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
Tradition,Other,FX,CU,EUR,180000000,205848000,2,False,90000.0,OD EUR vs. GBP Put at a strike of 0.844,False
Tradition,Other,FX,CU,EUR,180000000,205848000,2,False,36000.0,OD EUR vs. GBP Call at a strike of 0.867,False
Tradition,9M,FX,CU,USD,25000000,25000000,1,False,411875.0,9M USD vs. CAD Put at a delta of 50,False
Tradition,9M,FX,CU,USD,25000000,25000000,1,False,391250.0,9M USD vs. CAD Call at a delta of 50,False
Tradition,9M,FX,CU,USD,42000000,42000000,1,False,150150.0,9M USD vs. CAD Put at a delta of 15,False
Tradition,9M,FX,CU,USD,42000000,42000000,1,False,147000.0,9M USD vs. CAD Call at a delta of 15,False
Tradition,Other,FX,CU,USD,40000000,40000000,2,False,109500.0,OD USD vs. BRL Call at a strike of 5.1,False
Tradition,Other,FX,CU,USD,40000000,40000000,2,False,112500.0,OD USD vs. BRL Call at a strike of 5.085,False
Tradition,Other,FX,CU,USD,50000000,50000000,2,False,174750.0,OD USD vs. BRL Put at a strike of 5.11,False
Tradition,Other,FX,CU,USD,180000000,180000000,3,False,81250.0,OD USD vs. CAD Call at a strike of 1.3935,False
Tradition,Other,FX,CU,EUR,50000000,57180000,1,False,63750.0,OD EUR vs. USD Call at a strike of 1.1475,False
Tradition,2M,FX,CU,USD,5000000,5000000,1,False,88250.0,2M USD vs. BRL Put at a delta of 50,False
Tradition,2M,FX,CU,USD,5000000,5000000,1,False,88250.0,2M USD vs. BRL Call at a delta of 50,False
Tradition,1M,FX,CU,USD,10000000,10000000,1,False,40750.0,1M USD vs. SGD Put at a delta of 50,False
Tradition,1M,FX,CU,USD,10000000,10000000,1,False,40750.0,1M USD vs. SGD Call at a delta of 50,False
Tradition,Other,FX,CU,GBP,125000000,168350000,2,False,360000.0,OD GBP vs. USD Call at a strike of 1.3575,False
