SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
LatAm SEF,10Y,IRS / Swap,IR,CLP,25600000000.0,27358903.9339,1,True,5.33,CLP vs. Camara OIS - CME - 10-Year,False
LatAm SEF,4Y,IRS / Swap,IR,CLP,33100000000.0,35374207.8208,1,True,4.825,CLP vs. Camara OIS - CME - 4-Year,False
LatAm SEF,5Y,IRS / Swap,IR,CLP,27200000000.0,29068835.4298,1,True,4.925,CLP vs. Camara OIS - CME - 5-Year,False
LatAm SEF,8Y,IRS / Swap,IR,CLP,18200000000.0,19450470.7655,1,True,5.18,CLP vs. Camara OIS - CME - 8-Year,False
LatAm SEF,12M,IRS / Swap,IR,COP,109000000000.0,32638150.7044,1,True,12.275,COP vs. IBR OIS - CME - 12-Month,False
LatAm SEF,9M,IRS / Swap,IR,COP,141000000000.0,42219993.1131,1,True,12.14,COP vs. IBR OIS - CME - 9-Month,False
LatAm SEF,10Y,IRS / Swap,IR,MXN,1880000000.0,107873627.1933,1,True,8.145,MXN vs. F-TIIE OIS - CME - 130x1,True
LatAm SEF,1Y,IRS / Swap,IR,MXN,9055000000.0,519572177.7849,1,True,6.65,MXN vs. F-TIIE OIS - CME - 13x1,True
LatAm SEF,2Y,IRS / Swap,IR,MXN,2105000000.0,120784034.7032,1,True,7.02,MXN vs. F-TIIE OIS - CME - 26x1,True
LatAm SEF,3Y,IRS / Swap,IR,MXN,2035000000.0,116767463.4779,1,True,7.31,MXN vs. F-TIIE OIS - CME - 39x1,True
LatAm SEF,4Y,IRS / Swap,IR,MXN,755000000.0,43321589.6441,1,True,7.52,MXN vs. F-TIIE OIS - CME - 52x1,True
LatAm SEF,5Y,IRS / Swap,IR,MXN,1465000000.0,84061097.7863,1,True,7.66,MXN vs. F-TIIE OIS - CME - 65x1,True
LatAm SEF,7Y,IRS / Swap,IR,MXN,915000000.0,52502323.8734,1,True,7.895,MXN vs. F-TIIE OIS - CME - 91x1,True
LatAm SEF,9M,IRS / Swap,IR,MXN,17800000000.0,1021356683.0007,1,True,6.585,MXN vs. F-TIIE OIS - CME - 9x1,True
LatAm SEF,1M,FX,CU,USD,120000000.0,120000000.0,1,True,926.46,NDF CLP - 12Aug26,False
LatAm SEF,1M,FX,CU,USD,18000000.0,18000000.0,1,True,924.95,NDF CLP - 17Aug26,False
LatAm SEF,1W,FX,CU,USD,18000000.0,18000000.0,1,True,925.0,NDF CLP - 20Jul26,False
LatAm SEF,1W,FX,CU,USD,150000000.0,150000000.0,1,True,926.5,NDF CLP - 22Jul26,False
LatAm SEF,1W,FX,CU,USD,30000000.0,30000000.0,1,True,924.5,NDF CLP - 23Jul26,False
LatAm SEF,TN,FX,CU,USD,44000000.0,44000000.0,1,True,3252.72,NDF COP - 17Jul26,False
LatAm SEF,1M,FX,CU,USD,30000000.0,30000000.0,1,True,3268.45,NDF COP - 18Aug26,False
LatAm SEF,1W,FX,CU,USD,35000000.0,35000000.0,1,True,3254.16,NDF COP - 22Jul26,False
LatAm SEF,1W,FX,CU,USD,21000000.0,21000000.0,1,True,3255.02,NDF COP - 23Jul26,False
LatAm SEF,TN,FX,CU,USD,8000000.0,8000000.0,1,True,3.4,NDF PEN - 16Jul26,False
LatAm SEF,1M,FX,CU,USD,18000000.0,18000000.0,1,True,3.3947,NDF PEN - 17Aug26,False
LatAm SEF,TN,FX,CU,USD,10000000.0,10000000.0,1,True,3.391,NDF PEN - 17Jul26,False
LatAm SEF,1Y,IRS / Swap,IR,MXV,100000000.0,5737958.8933,1,True,3.1525,UDI vs. MXN F-TIIE - 1-Year,True
LatAm SEF,3Y,IRS / Swap,IR,MXV,100000000.0,5737958.8933,1,True,3.1065,UDI vs. MXN F-TIIE - 3-Year,True
