SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
Tradition,1W,FX,CU,USD,15000000,15000000,1,False,57375.0,1W USD vs. CHF Put at a delta of 50,False
Tradition,1W,FX,CU,USD,15000000,15000000,1,False,55500.0,1W USD vs. CHF Call at a delta of 50,False
Tradition,2W,FX,CU,EUR,60000000,69594000,3,False,49500.0,2W EUR vs. USD Put at a delta of 50,False
Tradition,2W,FX,CU,EUR,60000000,69594000,3,False,48500.0,2W EUR vs. USD Call at a delta of 50,False
Tradition,1M,FX,CU,EUR,37500000,43496248,2,False,191812.5,1M EUR vs. USD Put at a delta of 50,False
Tradition,1M,FX,CU,EUR,37500000,43496248,2,False,185625.0,1M EUR vs. USD Call at a delta of 50,False
Tradition,2W,FX,CU,EUR,100000000,115989992,2,False,247500.0,2W EUR vs. USD Put at a delta of 50,False
Tradition,2W,FX,CU,EUR,100000000,115989992,2,False,242500.0,2W EUR vs. USD Call at a delta of 50,False
Tradition,6M,FX,CU,USD,230000000,230000000,5,False,148125.0,6M USD vs. CAD Put at a delta of 10,False
Tradition,1M,FX,CU,USD,135000000,135000000,9,False,136750.0,1M USD vs. BRL Put at a delta of 50,False
Tradition,1M,FX,CU,USD,135000000,135000000,9,False,136750.0,1M USD vs. BRL Call at a delta of 50,False
Tradition,1M,FX,CU,GBP,37500000,50340000,1,False,371250.0,1M GBP vs. USD Put at a delta of 50,False
Tradition,1M,FX,CU,GBP,37500000,50340000,1,False,356250.0,1M GBP vs. USD Call at a delta of 50,False
Tradition,9M,FX,CU,USD,75000000,75000000,5,False,180250.0,9M USD vs. CAD Put at a delta of 50,False
Tradition,9M,FX,CU,USD,75000000,75000000,5,False,171500.0,9M USD vs. CAD Call at a delta of 50,False
Tradition,1W,FX,CU,AUD,50000000,35670000,1,False,147500.0,1W AUD vs. USD Put at a delta of 50,False
Tradition,1W,FX,CU,AUD,50000000,35670000,1,False,158750.0,1W AUD vs. USD Call at a delta of 50,False
Tradition,Other,FX,CU,USD,50000000,50000000,1,False,500.0,SPECIFIC USD vs. JPY Put at a strike of 156.6,False
Tradition,Other,FX,CU,USD,50000000,50000000,1,False,9250.0,SPECIFIC USD vs. JPY Put at a strike of 157.6,False
Tradition,6W,FX,CU,USD,100000000,100000000,3,False,202500.0,6W USD vs. CLP Call at a strike of 875,False
Tradition,1M,FX,CU,USD,60000000,60000000,6,False,93250.0,1M USD vs. MXN Put at a delta of 50,True
Tradition,1M,FX,CU,USD,60000000,60000000,6,False,93250.0,1M USD vs. MXN Call at a delta of 50,True
Tradition,6W,FX,CU,USD,74000000,74000000,1,False,321900.0,6W USD vs. NOK Put at a delta of 25,False
Tradition,6W,FX,CU,USD,70000000,70000000,1,False,274750.0,6W USD vs. NOK Call at a delta of 25,False
Tradition,Other,FX,CU,EUR,20000000,23198000,1,False,2000.0,ON EUR vs. CAD Put at a strike of 1.603,False
Tradition,Other,FX,CU,EUR,20000000,23198000,1,False,17000.0,ON EUR vs. CAD Call at a strike of 1.61,False
Tradition,Other,FX,CU,USD,100000000,100000000,2,False,23750.0,ON USD vs. CNH Put at a strike of 6.7755,False
Tradition,Other,FX,CU,USD,100000000,100000000,2,False,16250.0,OD USD vs. CNH Call at a strike of 6.75,False
Tradition,2W,FX,CU,EUR,100000000,115989992,2,False,91875.0,2W EUR vs. USD Put at a strike of 1.148,False
Tradition,Other,FX,CU,EUR,100000000,115989992,2,False,221250.0,OD EUR vs. USD Call at a strike of 1.167,False
Tradition,18M,FX,CU,USD,25000000,25000000,1,False,966250.0,18M USD vs. CHF Put at a delta of 50,False
Tradition,18M,FX,CU,USD,25000000,25000000,1,False,862500.0,18M USD vs. CHF Call at a delta of 50,False
Tradition,1W,FX,CU,USD,20000000,20000000,1,False,72000.0,1W USD vs. MXN Put at a strike of 17.35,True
Tradition,Other,FX,CU,USD,10000000,10000000,1,False,11750.0,ON USD vs. MXN Put at a strike of 17.35,True
Tradition,1M,FX,CU,GBP,40000000,53696000,3,False,145500.0,1M GBP vs. USD Put at a delta of 50,False
Tradition,1M,FX,CU,GBP,40000000,53696000,3,False,145500.0,1M GBP vs. USD Call at a delta of 50,False
Tradition,Other,FX,CU,GBP,30000000,40272000,1,False,112800.0,SPECIFIC GBP vs. USD Put at a strike of 1.3405,False
Tradition,1W,FX,CU,USD,45000000,45000000,2,False,90625.0,1W USD vs. JPY Put at a delta of 50,False
Tradition,1W,FX,CU,USD,45000000,45000000,2,False,88750.0,1W USD vs. JPY Call at a delta of 50,False
Tradition,Other,FX,CU,GBP,30000000,40272000,1,False,11400.0,SPECIFIC GBP vs. USD Put at a strike of 1.338,False
Tradition,1M,FX,CU,USD,25000000,25000000,2,False,64687.5,1M USD vs. CAD Put at a delta of 50,False
Tradition,1M,FX,CU,USD,25000000,25000000,2,False,61875.0,1M USD vs. CAD Call at a delta of 50,False
Tradition,Other,FX,CU,USD,180000000,180000000,5,False,102500.0,OD USD vs. CAD Put at a strike of 1.4,False
Tradition,Other,FX,CU,AUD,90000000,64206000,2,False,30000.0,SPECIFIC AUD vs. USD Call at a strike of 0.7185,False
Tradition,3M,FX,CU,USD,55000000,55000000,1,False,203500.0,3M USD vs. CAD Put at a delta of 25,False
Tradition,3M,FX,CU,USD,50000000,50000000,1,False,175000.0,3M USD vs. CAD Call at a delta of 25,False
Tradition,2M,FX,CU,USD,92500000,92500000,4,False,90937.5,2M USD vs. CAD Put at a delta of 50,False
Tradition,2M,FX,CU,USD,92500000,92500000,4,False,87812.5,2M USD vs. CAD Call at a delta of 50,False
Tradition,Other,FX,CU,USD,100000000,100000000,1,False,125000.0,OD USD vs. JPY Call at a strike of 159.9,False
Tradition,1W,FX,CU,USD,100000000,100000000,1,False,115000.0,1W USD vs. JPY Put at a strike of 161.5,False
Tradition,Other,FX,CU,USD,30000000,30000000,1,False,18750.0,ON USD vs. JPY Call at a delta of 25,False
Tradition,Other,FX,CU,USD,30000000,30000000,1,False,15750.0,ON USD vs. JPY Put at a delta of 25,False
Tradition,2W,FX,CU,USD,80000000,80000000,4,False,29250.0,2W USD vs. MXN Call at a strike of 17.2285,True
Tradition,1W,FX,CU,EUR,25000000,28997498,1,False,77500.0,1W EUR vs. JPY Put at a delta of 50,False
Tradition,1W,FX,CU,EUR,25000000,28997498,1,False,80000.0,1W EUR vs. JPY Call at a delta of 50,False
Tradition,1W,FX,CU,EUR,10000000,11599000,1,False,31250.0,1W EUR vs. JPY Put at a delta of 50,False
Tradition,1W,FX,CU,EUR,10000000,11599000,1,False,31750.0,1W EUR vs. JPY Call at a delta of 50,False
Tradition,3M,FX,CU,GBP,50000000,67120000,1,False,208750.0,3M GBP vs. USD Put at a delta of 15,False
Tradition,3M,FX,CU,GBP,50000000,67120000,1,False,167500.0,3M GBP vs. USD Call at a delta of 15,False
Tradition,2Y,FX,CU,USD,75000000,75000000,2,False,815625.0,2Y USD vs. CAD Put at a delta of 50,False
Tradition,2Y,FX,CU,USD,75000000,75000000,2,False,741250.0,2Y USD vs. CAD Call at a delta of 50,False
Tradition,2Y,FX,CU,USD,176250000,176250000,3,False,935625.0,2Y USD vs. CAD Put at a delta of 25,False
Tradition,2Y,FX,CU,USD,176250000,176250000,3,False,896250.0,2Y USD vs. CAD Call at a delta of 25,False
Tradition,3M,FX,CU,GBP,30000000,40272000,1,False,226500.0,3M GBP vs. USD Put at a delta of 25,False
Tradition,3M,FX,CU,GBP,30000000,40272000,1,False,194250.0,3M GBP vs. USD Call at a delta of 25,False
Tradition,9M,FX,CU,AUD,100000000,71340000,2,False,1057500.0,9M AUD vs. USD Put at a strike of 0.69,False
Tradition,9M,FX,CU,AUD,260000000,185484000,2,False,648375.0,9M AUD vs. USD Put at a strike of 0.63,False
Tradition,1M,FX,CU,CHF,5000000,6321000,1,False,43295.0,1M CHF vs. MXN Call at a strike of 22.02,True
Tradition,1M,FX,CU,CHF,5000000,6321000,1,False,43295.0,1M CHF vs. MXN Put at a strike of 22.02,True
Tradition,1Y,FX,CU,USD,75000000,75000000,3,False,371875.0,1Y USD vs. CNH Put at a delta of 50,False
Tradition,1Y,FX,CU,USD,75000000,75000000,3,False,356250.0,1Y USD vs. CNH Call at a delta of 50,False
Tradition,1Y,FX,CU,USD,300000000,300000000,3,False,265000.0,1Y USD vs. CNH Put at a strike of 6.9,False
Tradition,3M,FX,CU,USD,150000000,150000000,3,False,153750.0,3M USD vs. CHF Call at a delta of 25,False
Tradition,3M,FX,CU,USD,150000000,150000000,3,False,156000.0,3M USD vs. CHF Put at a delta of 25,False
Tradition,3M,FX,CU,USD,5000000,5000000,1,False,126125.0,3M USD vs. BRL Put at a delta of 50,False
Tradition,3M,FX,CU,USD,5000000,5000000,1,False,126125.0,3M USD vs. BRL Call at a delta of 50,False
Tradition,3M,FX,CU,EUR,80000000,92792000,5,False,320625.0,3M EUR vs. USD Put at a delta of 50,False
Tradition,3M,FX,CU,EUR,80000000,92792000,5,False,315625.0,3M EUR vs. USD Call at a delta of 50,False
Tradition,1M,FX,CU,USD,25000000,25000000,1,False,128750.0,1M USD vs. CAD Put at a delta of 50,False
Tradition,1M,FX,CU,USD,25000000,25000000,1,False,123125.0,1M USD vs. CAD Call at a delta of 50,False
Tradition,3M,FX,CU,USD,14250000,14250000,1,False,133950.0,3M USD vs. CAD Put at a delta of 50,False
Tradition,3M,FX,CU,USD,14250000,14250000,1,False,130387.5,3M USD vs. CAD Call at a delta of 50,False
Tradition,2M,FX,CU,USD,10000000,10000000,1,False,126250.0,2M USD vs. JPY Put at a delta of 50,False
Tradition,2M,FX,CU,USD,10000000,10000000,1,False,120000.0,2M USD vs. JPY Call at a delta of 50,False
Tradition,Other,FX,CU,USD,50000000,50000000,1,False,53750.0,ON USD vs. JPY Put at a strike of 160,False
Tradition,Other,FX,CU,USD,50000000,50000000,1,False,135000.0,OD USD vs. JPY Put at a strike of 160,False
Tradition,2Y,FX,CU,USD,50000000,50000000,4,False,488250.0,2Y USD vs. CAD Put at a delta of 50,False
Tradition,2Y,FX,CU,USD,50000000,50000000,4,False,441750.0,2Y USD vs. CAD Call at a delta of 50,False
