SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
LatAm SEF,10Y,IRS / Swap,IR,CLP,33600000000.0,35908561.4133,1,True,5.305,CLP vs. Camara OIS - CME - 10-Year,False
LatAm SEF,12M,IRS / Swap,IR,CLP,28500000000.0,30458154.7702,1,True,4.53,CLP vs. Camara OIS - CME - 12-Month,False
LatAm SEF,12Y,IRS / Swap,IR,CLP,20400000000.0,21801626.5723,1,True,5.34,CLP vs. Camara OIS - CME - 12-Year,False
LatAm SEF,18M,IRS / Swap,IR,CLP,116500000000.0,124504387.043,1,True,4.615,CLP vs. Camara OIS - CME - 18-Month,False
LatAm SEF,2Y,IRS / Swap,IR,CLP,145000000000.0,154962541.8132,1,True,4.56,CLP vs. Camara OIS - CME - 2-Year,False
LatAm SEF,4Y,IRS / Swap,IR,CLP,7500000000.0,8015303.8869,1,True,4.78,CLP vs. Camara OIS - CME - 4-Year,False
LatAm SEF,5Y,IRS / Swap,IR,CLP,22700000000.0,24259653.0976,1,True,4.85,CLP vs. Camara OIS - CME - 5-Year,False
LatAm SEF,6Y,IRS / Swap,IR,CLP,40300000000.0,43068899.5522,1,True,4.945,CLP vs. Camara OIS - CME - 6-Year,False
LatAm SEF,12M,IRS / Swap,IR,COP,182000000000.0,54496728.6991,1,True,12.3,COP vs. IBR OIS - CME - 12-Month,False
LatAm SEF,18M,IRS / Swap,IR,COP,128000000000.0,38327369.6345,1,True,12.39,COP vs. IBR OIS - CME - 18-Month,False
LatAm SEF,2Y,IRS / Swap,IR,COP,384000000000.0,114982108.9036,1,True,11.14,COP vs. IBR OIS - CME - 2-Year,False
LatAm SEF,3Y,IRS / Swap,IR,COP,243000000000.0,72762115.7906,1,True,10.645,COP vs. IBR OIS - CME - 3-Year,False
LatAm SEF,4Y,IRS / Swap,IR,COP,30500000000.0,9132693.5457,1,True,10.33,COP vs. IBR OIS - CME - 4-Year,False
LatAm SEF,6Y,IRS / Swap,IR,COP,15000000000.0,4491488.629,1,True,9.98,COP vs. IBR OIS - CME - 6-Year,False
LatAm SEF,10Y,IRS / Swap,IR,MXN,670000000.0,38320312.0532,1,True,8.095,MXN vs. F-TIIE OIS - CME - 130x1,True
LatAm SEF,2Y,IRS / Swap,IR,MXN,3480000000.0,199036844.6941,1,True,7.025,MXN vs. F-TIIE OIS - CME - 26x1,True
LatAm SEF,5Y,IRS / Swap,IR,MXN,100000000.0,5719449.5602,1,True,7.62,MXN vs. F-TIIE OIS - CME - 65x1,True
LatAm SEF,6M,IRS / Swap,IR,MXN,3600000000.0,205900184.1663,1,True,6.555,MXN vs. F-TIIE OIS - CME - 6x1,True
LatAm SEF,9M,IRS / Swap,IR,MXN,3380000000.0,193317395.1339,1,True,6.59,MXN vs. F-TIIE OIS - CME - 9x1,True
LatAm SEF,1M,FX,CU,USD,23000000.0,23000000.0,1,True,924.4,NDF CLP - 14Aug26,False
LatAm SEF,1W,FX,CU,USD,23000000.0,23000000.0,1,True,924.5,NDF CLP - 15Jul26,False
LatAm SEF,3W,FX,CU,USD,30000000.0,30000000.0,1,True,3.392,NDF PEN - 04Aug26,False
LatAm SEF,1W,FX,CU,USD,30000000.0,30000000.0,1,True,3.39,NDF PEN - 17Jul26,False
