SEF,Tenor,Category,AssetClass,Currency,Notional_Local,Notional_USD,Trades,Trades_Estimated,Last_Price,Description,MXN_Match
LatAm SEF,10Y,IRS / Swap,IR,CLP,13000000000.0,13893193.4039,1,True,5.23,CLP vs. Camara OIS - CME - 10-Year,False
LatAm SEF,12M,IRS / Swap,IR,CLP,29000000000.0,30992508.3626,1,True,4.47,CLP vs. Camara OIS - CME - 12-Month,False
LatAm SEF,15Y,IRS / Swap,IR,CLP,26500000000.0,28320740.4003,1,True,5.45,CLP vs. Camara OIS - CME - 15-Year,False
LatAm SEF,2Y,IRS / Swap,IR,CLP,122800000000.0,131237242.308,1,True,4.485,CLP vs. Camara OIS - CME - 2-Year,False
LatAm SEF,4Y,IRS / Swap,IR,CLP,15300000000.0,16351219.9293,1,True,4.655,CLP vs. Camara OIS - CME - 4-Year,False
LatAm SEF,5Y,IRS / Swap,IR,CLP,33400000000.0,35694819.9763,1,True,4.765,CLP vs. Camara OIS - CME - 5-Year,False
LatAm SEF,10Y,IRS / Swap,IR,COP,65000000000.0,19463117.3925,1,True,9.95,COP vs. IBR OIS - CME - 10-Year,False
LatAm SEF,5Y,IRS / Swap,IR,COP,103500000000.0,30991271.5404,1,True,10.175,COP vs. IBR OIS - CME - 5-Year,False
LatAm SEF,1Y,IRS / Swap,IR,USD,173000000.0,173000000.0,1,True,12.5,MXN F-TIIE vs. USD SOFR Cross-Currency Basis - 1-Year,True
LatAm SEF,3M,IRS / Swap,IR,USD,627000000.0,627000000.0,1,True,18.0,MXN F-TIIE vs. USD SOFR Cross-Currency Basis - 3-Month,True
LatAm SEF,5Y,IRS / Swap,IR,USD,36000000.0,36000000.0,1,True,14.51,MXN F-TIIE vs. USD SOFR Cross-Currency Basis - 5-Year,True
LatAm SEF,10Y,IRS / Swap,IR,MXN,600000000.0,34217279.7263,1,True,8.09,MXN vs. F-TIIE OIS - CME - 130x1,True
LatAm SEF,1Y,IRS / Swap,IR,MXN,5605000000.0,319646421.4428,1,True,6.66,MXN vs. F-TIIE OIS - CME - 13x1,True
LatAm SEF,2Y,IRS / Swap,IR,MXN,9060000000.0,516680923.8666,1,True,7.015,MXN vs. F-TIIE OIS - CME - 26x1,True
LatAm SEF,3Y,IRS / Swap,IR,MXN,525000000.0,29940119.7605,1,True,7.27,MXN vs. F-TIIE OIS - CME - 39x1,True
LatAm SEF,3M,IRS / Swap,IR,MXN,2000000000.0,114057599.0875,1,True,6.525,MXN vs. F-TIIE OIS - CME - 3x1,True
LatAm SEF,4Y,IRS / Swap,IR,MXN,1515000000.0,86398631.3088,1,True,7.5,MXN vs. F-TIIE OIS - CME - 52x1,True
LatAm SEF,5Y,IRS / Swap,IR,MXN,5420000000.0,309096093.5272,1,True,7.615,MXN vs. F-TIIE OIS - CME - 65x1,True
LatAm SEF,6M,IRS / Swap,IR,MXN,1550000000.0,88394639.2928,1,True,6.56,MXN vs. F-TIIE OIS - CME - 6x1,True
LatAm SEF,9M,IRS / Swap,IR,MXN,7540000000.0,429997148.56,1,True,6.58,MXN vs. F-TIIE OIS - CME - 9x1,True
LatAm SEF,1W,FX,CU,USD,6000000.0,6000000.0,1,True,930.5,NDF CLP - 13Jul26,False
LatAm SEF,1W,FX,CU,USD,6000000.0,6000000.0,1,True,930.49,NDF CLP - 14Jul26,False
LatAm SEF,1M,FX,CU,USD,16000000.0,16000000.0,1,True,3.4048,NDF PEN - 13Aug26,False
LatAm SEF,1W,FX,CU,USD,3000000.0,3000000.0,1,True,3.4,NDF PEN - 14Jul26,False
LatAm SEF,2W,FX,CU,USD,16000000.0,16000000.0,1,True,3.4009,NDF PEN - 20Jul26,False
